id,lat,lng,name,company,line,railroadDivision,railroadCompanyClassification,duplicate2011,dataEorN2011,passengers2011,duplicate2012,dataEorN2012,passengers2012,duplicate2013,dataEorN2013,passengers2013,duplicate2014,dataEorN2014,passengers2014,duplicate2015,dataEorN2015,passengers2015,duplicate2016,dataEorN2016,passengers2016,duplicate2017,dataEorN2017,passengers2017
cv9158,43.41890000,141.80328000,札的,北海道旅客鉄道,札沼線,11,2,1,1,0,1,1,0,1,1,2,1,1,2,1,3,0,1,3,0,1,3,0
cv9159,43.15550000,141.38174000,拓北,北海道旅客鉄道,札沼線,11,2,1,1,4610,1,1,4636,1,1,4792,1,1,4836,1,1,4858,1,1,5010,1,1,5130
cv9160,42.87220000,141.81108000,追分,北海道旅客鉄道,室蘭線,11,2,1,1,576,1,1,554,1,1,556,1,1,540,1,1,530,1,1,522,1,1,532
cv9161,43.15822000,141.74442000,志文,北海道旅客鉄道,室蘭線,11,2,1,1,24,1,1,22,1,1,18,1,1,14,1,3,0,1,3,0,1,3,0
cv9162,43.08506000,141.74464000,栗丘,北海道旅客鉄道,室蘭線,11,2,1,1,4,1,1,6,1,1,6,1,1,6,1,3,0,1,3,0,1,3,0
cv9163,42.94593000,141.80057000,三川,北海道旅客鉄道,室蘭線,11,2,1,1,76,1,1,70,1,1,80,1,1,78,1,3,0,1,3,0,1,3,0
cv9164,43.05685000,141.77589000,栗山,北海道旅客鉄道,室蘭線,11,2,1,1,310,1,1,336,1,1,356,1,1,342,1,1,350,1,3,0,1,3,0
cv9165,43.01121000,141.78607000,由仁,北海道旅客鉄道,室蘭線,11,2,1,1,130,1,1,142,1,1,132,1,1,124,1,3,0,1,3,0,1,3,0
cv9166,42.97588000,141.79387000,古山,北海道旅客鉄道,室蘭線,11,2,1,1,32,1,1,38,1,1,34,1,1,28,1,3,0,1,3,0,1,3,0
cv9167,42.81294000,141.82516000,安平,北海道旅客鉄道,室蘭線,11,2,1,1,28,1,1,22,1,1,20,1,1,18,1,3,0,1,3,0,1,3,0
cv9168,43.11905000,141.73957000,栗沢,北海道旅客鉄道,室蘭線,11,2,1,1,100,1,1,90,1,1,98,1,1,86,1,3,0,1,3,0,1,3,0
