id,lat,lng,name,company,line,railroadDivision,railroadCompanyClassification,duplicate2011,dataEorN2011,passengers2011,duplicate2012,dataEorN2012,passengers2012,duplicate2013,dataEorN2013,passengers2013,duplicate2014,dataEorN2014,passengers2014,duplicate2015,dataEorN2015,passengers2015,duplicate2016,dataEorN2016,passengers2016,duplicate2017,dataEorN2017,passengers2017
cv9047,43.37900000,144.55488000,磯分内,北海道旅客鉄道,釧網線,11,2,1,1,10,1,1,14,1,1,10,1,1,10,1,3,0,1,3,0,1,3,0
cv9048,43.91100000,144.66092000,知床斜里,北海道旅客鉄道,釧網線,11,2,1,1,292,1,1,298,1,1,312,1,1,298,1,1,278,1,1,242,1,1,236
cv9049,43.10531000,144.46991000,細岡,北海道旅客鉄道,釧網線,11,2,1,1,2,1,1,2,1,1,4,1,1,4,1,3,0,1,3,0,1,3,0
cv9050,43.29883000,144.60862000,標茶,北海道旅客鉄道,釧網線,11,2,1,1,374,1,1,332,1,1,348,1,1,330,1,1,308,1,1,298,1,1,310
cv9051,43.42830000,144.51495000,南弟子屈,北海道旅客鉄道,釧網線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9052,41.80234000,140.73386000,五稜郭,道南いさりび鉄道,道南いさりび鉄道線,12,5,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0
cv9053,41.82471000,140.65349000,清川口,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,270,1,1,286,1,1,286,1,1,288,1,3,0,1,3,0,1,1,180
cv9054,41.81977000,140.64127000,上磯,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,530,1,1,528,1,1,516,1,1,516,1,3,0,1,3,0,1,1,180
cv9055,41.76579000,140.60104000,茂辺地,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,66,1,1,62,1,1,62,1,1,44,1,3,0,1,3,0,1,1,30
cv9056,41.81737000,140.70877000,七重浜,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,474,1,1,510,1,1,508,1,1,530,1,3,0,1,3,0,1,1,250
cv9057,41.70089000,140.50720000,泉沢,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,24,1,1,18,1,1,12,1,1,10,1,3,0,1,3,0,1,1,10
cv9058,41.69928000,140.46861000,札苅,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,44,1,1,36,1,1,30,1,1,22,1,3,0,1,3,0,1,1,10
cv9059,41.82603000,140.68020000,東久根別,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,142,1,1,136,1,1,150,1,1,154,1,3,0,1,3,0,1,1,120
cv9060,41.71235000,140.53747000,釜谷,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,30,1,1,20,1,1,14,1,1,12,1,3,0,1,3,0,1,1,10
cv9061,41.82679000,140.66726000,久根別,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,204,1,1,200,1,1,204,1,1,208,1,3,0,1,3,0,1,1,130
cv9062,41.73777000,140.57921000,渡島当別,道南いさりび鉄道,道南いさりび鉄道線,12,5,1,1,68,1,1,70,1,1,72,1,1,96,1,3,0,1,3,0,1,1,60
cv9063,42.99519000,144.41044000,東釧路,北海道旅客鉄道,根室線,11,2,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,3,0,2,3,0
cv9064,43.05622000,144.84252000,厚岸,北海道旅客鉄道,根室線,11,2,1,1,394,1,1,396,1,1,380,1,1,370,1,1,332,1,1,300,1,1,294
cv9065,43.19617000,145.19491000,姉別,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,2,1,1,2,1,1,2,1,3,0,1,3,0,1,3,0
cv9066,43.22886000,145.54224000,昆布盛,北海道旅客鉄道,根室線,11,2,1,1,8,1,1,12,1,1,16,1,1,12,1,3,0,1,3,0,1,3,0
cv9067,43.19894000,145.51984000,落石,北海道旅客鉄道,根室線,11,2,1,1,32,1,1,26,1,1,26,1,1,22,1,3,0,1,3,0,1,3,0
cv9068,42.91760000,143.20308000,帯広,北海道旅客鉄道,根室線,11,2,1,1,4124,1,1,4108,1,1,3896,1,1,3854,1,1,3834,1,1,656,1,1,3514
cv9069,42.88885000,143.93161000,音別,北海道旅客鉄道,根室線,11,2,1,1,156,1,1,138,1,1,106,1,1,106,1,1,88,1,1,86,1,1,70
cv9070,42.85551000,143.50103000,十弗,北海道旅客鉄道,根室線,11,2,1,1,4,1,1,8,1,1,6,1,1,4,1,3,0,1,3,0,1,3,0
cv9071,43.05733000,144.78373000,門静,北海道旅客鉄道,根室線,11,2,1,1,10,1,1,14,1,1,10,1,1,8,1,3,0,1,3,0,1,3,0
cv9072,42.93445000,143.42530000,利別,北海道旅客鉄道,根室線,11,2,1,1,58,1,1,60,1,1,62,1,1,58,1,3,0,1,3,0,1,3,0
cv9073,43.01850000,144.70336000,尾幌,北海道旅客鉄道,根室線,11,2,1,1,24,1,1,14,1,1,18,1,1,22,1,3,0,1,3,0,1,3,0
cv9074,42.97556000,144.12930000,西庶路,北海道旅客鉄道,根室線,11,2,1,1,48,1,1,56,1,1,40,1,1,40,1,3,0,1,3,0,1,3,0
cv9075,42.98352000,144.14909000,庶路,北海道旅客鉄道,根室線,11,2,1,1,10,1,1,12,1,1,14,1,1,10,1,3,0,1,3,0,1,3,0
cv9076,42.95610000,144.07774000,白糠,北海道旅客鉄道,根室線,11,2,1,1,180,1,1,182,1,1,166,1,1,158,1,1,132,1,3,0,1,1,82
cv9077,42.94816000,144.00877000,古瀬,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9078,42.80925000,143.81515000,厚内,北海道旅客鉄道,根室線,11,2,1,1,6,1,1,4,1,1,6,1,1,8,1,3,0,1,3,0,1,3,0
cv9079,43.00135000,144.35166000,新富士,北海道旅客鉄道,根室線,11,2,1,1,42,1,1,56,1,1,46,1,1,42,1,3,0,1,3,0,1,3,0
cv9080,42.99107000,144.38045000,釧路,北海道旅客鉄道,根室線,11,2,1,1,3116,1,1,3142,1,1,2960,1,1,2850,1,1,2732,1,1,2002,1,1,2192
cv9081,42.85243000,143.86404000,直別,北海道旅客鉄道,根室線,11,2,1,1,2,1,1,2,1,1,2,1,1,2,1,3,0,1,3,0,1,3,0
cv9082,43.32384000,145.59703000,東根室,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9083,42.80972000,143.65138000,浦幌,北海道旅客鉄道,根室線,11,2,1,1,172,1,1,156,1,1,144,1,1,126,1,1,124,1,1,78,1,1,132
cv9084,43.29536000,145.57611000,花咲,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,3,4,0,3,4,0,3,4,0
cv9085,43.21851000,145.42429000,別当賀,北海道旅客鉄道,根室線,11,2,1,1,2,1,1,2,1,1,2,1,1,2,1,3,0,1,3,0,1,3,0
cv9086,43.00941000,144.29536000,新大楽毛,北海道旅客鉄道,根室線,11,2,1,1,38,1,1,46,1,1,28,1,1,20,1,3,0,1,3,0,1,3,0
cv9087,42.90404000,143.29707000,稲士別,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9088,43.10355000,144.92510000,糸魚沢,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,2,1,1,0,1,1,2,1,3,0,1,3,0,1,3,0
cv9089,42.91325000,143.25523000,札内,北海道旅客鉄道,根室線,11,2,1,1,572,1,1,574,1,1,574,1,1,666,1,1,688,1,1,456,1,1,632
cv9090,43.03310000,144.61322000,上尾幌,北海道旅客鉄道,根室線,11,2,1,1,32,1,1,26,1,1,30,1,1,28,1,3,0,1,3,0,1,3,0
cv9091,43.12967000,145.02863000,茶内,北海道旅客鉄道,根室線,11,2,1,1,22,1,1,24,1,1,24,1,1,20,1,3,0,1,3,0,1,3,0
cv9092,42.83175000,143.75040000,上厚内,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9093,42.99192000,144.42526000,武佐,北海道旅客鉄道,根室線,11,2,1,1,24,1,1,26,1,1,20,1,1,18,1,3,0,1,3,0,1,3,0
cv9094,43.22839000,145.25293000,厚床,北海道旅客鉄道,根室線,11,2,1,1,28,1,1,20,1,1,26,1,1,20,1,3,0,1,3,0,1,3,0
cv9095,43.20469000,145.32314000,初田牛,北海道旅客鉄道,根室線,11,2,1,1,2,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9096,43.00910000,144.27479000,大楽毛,北海道旅客鉄道,根室線,11,2,1,1,174,1,1,178,1,1,156,1,1,150,1,3,0,1,3,0,1,3,0
cv9097,42.81729000,143.53920000,豊頃,北海道旅客鉄道,根室線,11,2,1,1,68,1,1,64,1,1,48,1,1,40,1,3,0,1,3,0,1,3,0
cv9098,42.99441000,144.46871000,別保,北海道旅客鉄道,根室線,11,2,1,1,8,1,1,10,1,1,10,1,1,10,1,3,0,1,3,0,1,3,0
cv9099,42.92026000,143.45393000,池田,北海道旅客鉄道,根室線,11,2,1,1,606,1,1,594,1,1,540,1,1,514,1,1,514,1,1,120,1,1,508
cv9100,43.26858000,145.54184000,西和田,北海道旅客鉄道,根室線,11,2,1,1,8,1,1,2,1,1,4,1,1,4,1,3,0,1,3,0,1,3,0
cv9101,42.77797000,143.60876000,新吉野,北海道旅客鉄道,根室線,11,2,1,1,18,1,1,12,1,1,12,1,1,8,1,3,0,1,3,0,1,3,0
cv9102,42.86890000,143.90392000,尺別,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,2,1,3,0,1,3,0,1,3,0
cv9103,42.90709000,143.35858000,幕別,北海道旅客鉄道,根室線,11,2,1,1,550,1,1,536,1,1,462,1,1,484,1,1,488,1,1,478,1,1,416
cv9104,43.15799000,145.09994000,浜中,北海道旅客鉄道,根室線,11,2,1,1,8,1,1,10,1,1,12,1,1,10,1,3,0,1,3,0,1,3,0
cv9105,43.32667000,145.58195000,根室,北海道旅客鉄道,根室線,11,2,1,1,314,1,1,302,1,1,296,1,1,268,1,1,268,1,1,200,1,1,218
cv9106,43.34580000,142.39214000,富良野,北海道旅客鉄道,根室線,11,2,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,3,0
cv9107,42.95738000,142.90702000,羽帯,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
cv9108,43.37503000,142.35089000,島ノ下,北海道旅客鉄道,根室線,11,2,1,1,0,1,1,0,1,1,0,1,1,0,1,3,0,1,3,0,1,3,0
